City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,san patricio,28.017,-97.5169,38.4,30,50,2.12,US,1693259929
303,namibe,-15.1961,12.1522,18.63,88,66,1.56,AO,1693259929
304,luwingu,-10.2621,29.9271,16.47,59,8,4.33,ZM,1693259930
305,page,36.9147,-111.4558,36.88,12,0,3.13,US,1693259682
306,kone,-21.0595,164.8658,22.2,61,1,2.43,NC,1693259931
307,al kharijah,25.4514,30.5464,30.29,22,0,4.0,EG,1693259931
308,moa,20.6569,-74.9403,30.58,72,77,1.34,CU,1693259931
309,udachny,66.4167,112.4,14.93,80,100,1.91,RU,1693259932
310,smithers,54.7804,-127.1743,28.18,24,40,1.54,CA,1693259932
311,bardai,11.65,7.2333,23.83,78,27,2.85,NG,1693259932
312,amahai,-3.3333,128.9167,24.69,88,99,5.23,ID,1693259933
313,brisas barra de suchiate,14.55,-92.2167,30.03,69,27,2.7,MX,1693259933
314,aykhal,66.0,111.5,13.37,88,100,1.45,RU,1693259934
315,utrik,11.2278,169.8474,28.38,79,97,6.87,MH,1693259934
316,vadso,70.0744,29.7487,9.49,93,20,5.14,NO,1693259934
317,remire-montjoly,4.9167,-52.2667,29.02,79,40,2.57,GF,1693259935
318,doganhisar,38.1463,31.6765,18.87,54,3,3.3,TR,1693259935
319,rongelap,11.1635,166.8941,28.57,76,87,6.79,MH,1693259935
320,magistral'nyy,56.1725,107.4458,13.32,88,68,0.93,RU,1693259936
321,anadyr,64.75,177.4833,10.28,81,40,6.0,RU,1693259936
322,alaior,39.9303,4.1404,22.86,73,20,3.09,ES,1693259937
323,cascavel,-24.9558,-53.4553,18.78,52,75,3.09,BR,1693259918
324,ishinomaki,38.4167,141.3,27.0,83,66,1.85,JP,1693259937
325,praia da vitoria,38.7333,-27.0667,23.2,94,75,4.61,PT,1693259938
326,sur,22.5667,59.5289,29.73,63,33,4.06,OM,1693259938
327,boras,57.721,12.9401,14.19,98,11,2.49,SE,1693259938
328,santanyi,39.3546,3.1291,25.93,56,53,9.05,ES,1693259939
329,redencao,-4.2258,-38.7306,24.02,76,0,1.86,BR,1693259939
330,mahina,-17.5065,-149.489,26.12,77,48,2.91,PF,1693259940
331,akureyri,65.6835,-18.0878,9.96,87,75,4.12,IS,1693259940
332,nar'yan-mar,67.6713,53.087,7.82,85,96,0.92,RU,1693259941
333,midvagur,62.0511,-7.1939,11.46,100,100,0.51,FO,1693259941
334,nova vicosa,-17.8919,-39.3719,22.38,84,100,7.55,BR,1693259942
335,cannonvale,-20.2833,148.7,20.66,82,4,3.79,AU,1693259942
336,kohlu,29.8962,69.252,27.26,46,0,0.91,PK,1693259942
